fault,CBO,LCOM,NOC,RFC,WMC,SLOC,DIT
no,9,86,0,222,100,735,5
no,14,72,0,27,12,732,3
no,14,87,5,61,26,598,3
no,5,86,0,24,24,430,0
no,14,96,0,48,18,441,2
no,9,28,0,31,23,239,1
no,5,78,0,14,14,3,0
no,12,67,0,33,14,263,2
no,18,83,0,58,10,275,4
no,8,58,0,37,34,212,0
no,10,88,2,23,23,189,0
no,14,96,0,54,8,259,4
no,13,86,0,27,11,195,3
no,10,88,0,25,25,187,0
no,17,93,0,54,6,214,4
no,14,73,0,8,8,178,0
no,10,46,0,23,15,130,1
no,15,78,0,11,11,163,0
no,10,75,0,20,16,159,1
no,10,95,0,42,15,151,1
no,6,59,0,33,25,122,1
no,17,93,0,54,6,172,4
no,12,80,0,37,10,158,1
no,14,81,0,46,11,147,2
no,12,77,0,13,9,146,1
no,11,0,0,41,9,149,2
no,15,94,0,44,9,138,2
no,5,0,0,10,5,124,1
no,12,89,0,55,21,101,1
no,4,0,0,6,6,111,0
no,5,100,0,18,18,4,0
no,14,86,0,37,10,102,1
no,6,95,0,59,24,77,1
no,5,100,1,8,8,97,0
no,4,0,0,8,8,0,0
no,6,80,0,15,15,76,0
no,2,85,0,11,7,86,1
no,10,85,0,37,9,79,1
no,4,84,1,33,13,80,1
no,3,67,0,17,17,65,0
no,7,75,0,6,6,72,0
no,8,22,0,11,11,62,1
no,2,0,2,9,9,32,0
no,6,62,0,8,8,43,0
no,2,94,0,52,17,36,1
no,1,100,1,38,32,6,2
no,5,0,0,60,5,39,2
no,4,0,0,5,5,0,0
no,0,100,1,98,98,4,0
no,3,38,0,7,7,30,0
no,3,100,1,32,32,0,0
no,0,100,1,35,35,2,0
no,13,100,3,25,19,0,2
no,4,0,0,6,6,18,0
no,4,50,0,11,6,12,0
no,0,0,1,3,3,19,0
no,1,75,0,6,6,13,0
no,0,100,0,7,7,13,0
no,1,100,0,53,22,2,3
no,5,0,0,24,5,15,1
no,1,100,0,12,5,10,2
no,0,50,0,2,2,11,0
no,1,100,0,20,16,6,1
no,0,0,0,10,10,0,0
no,3,100,0,38,11,0,1
no,3,100,0,38,11,0,1
no,0,100,0,10,10,0,0
no,1,0,0,3,3,5,0
no,0,0,0,10,10,0,0
no,0,100,0,0,0,0,0
no,0,100,0,0,0,0,0
no,0,100,0,4,3,6,0
no,4,75,2,8,8,0,0
no,1,70,0,5,5,0,0
no,1,100,0,30,20,0,1
no,1,100,0,30,20,0,1
no,1,0,0,2,2,1,1
no,1,0,0,2,2,1,1
no,1,100,0,33,14,0,2
no,0,0,2,9,9,0,0
no,0,100,0,0,0,0,0
no,0,100,0,0,0,0,0
no,0,0,0,60,5,0,2
no,0,100,0,7,7,0,0
no,0,98,0,37,34,0,0
no,0,100,1,28,28,0,0
no,1,100,0,198,24,0,3
yes,9,93,0,49,14,87,1
yes,24,100,0,110,73,2313,3
yes,21,100,0,68,30,1138,3
yes,15,90,0,34,19,956,3
yes,19,100,0,78,30,1008,3
yes,12,83,0,52,39,875,1
yes,14,73,0,92,23,697,3
yes,14,84,0,33,20,453,1
yes,14,97,0,53,22,384,3
yes,22,94,0,31,31,376,0
yes,17,90,0,69,36,390,1
yes,13,80,0,45,37,327,1
yes,19,90,0,35,35,270,0
yes,10,88,0,22,22,282,0
yes,10,96,0,84,50,248,1
yes,14,90,0,37,25,265,1
yes,11,80,1,28,15,252,1
yes,16,93,0,38,32,203,2
yes,9,0,0,18,18,189,0
yes,19,94,0,53,17,238,2
yes,4,0,0,16,16,169,0
yes,16,87,0,40,12,228,1
yes,9,0,4,7,7,233,0
yes,12,55,0,24,20,199,0
yes,18,100,1,38,13,189,1
yes,18,100,1,38,13,179,1
yes,15,78,0,119,7,162,6
yes,6,74,0,48,21,142,2
yes,7,0,0,15,15,106,0
yes,8,68,0,7,7,143,0
yes,14,0,0,41,10,117,3
yes,9,83,0,14,14,113,0
yes,15,82,0,7,7,104,0
yes,5,25,0,9,9,108,0
yes,13,75,0,36,8,113,1
yes,4,100,0,11,11,108,0
yes,9,0,0,10,10,106,0
yes,16,0,0,10,10,91,0
yes,5,0,0,7,7,109,0
yes,8,72,0,36,11,65,1
yes,3,0,0,8,8,85,0
yes,9,97,0,38,11,75,1
yes,4,0,0,5,5,0,0
yes,10,96,0,98,98,2115,0
yes,20,95,0,85,28,1231,3
yes,13,88,0,99,99,1100,0
yes,24,96,0,140,35,991,3
yes,14,94,0,198,24,555,3
yes,4,90,0,20,20,619,0
yes,23,92,0,53,25,498,1
yes,16,81,0,28,20,424,1
yes,15,77,0,12,12,273,0
yes,14,91,0,54,8,241,4
yes,11,76,0,28,28,166,0
yes,3,90,0,11,8,120,1
yes,9,83,0,15,15,88,0
yes,4,0,0,5,5,13,0
yes,10,82,0,10,10,57,0
